study_name, sample_id,NCBI_accession
ShaoY_2019,f9151210-7ae6-11e9-a106-68b59976a384,ERR3405706
ShaoY_2019,f927e6e2-7ae6-11e9-a106-68b59976a384,ERR3405688
ShaoY_2019,f9387138-7ae6-11e9-a106-68b59976a384,ERR3405707
ShaoY_2019,f9489428-7ae6-11e9-a106-68b59976a384,ERR3405687
ShaoY_2019,f958dae0-7ae6-11e9-a106-68b59976a384,ERR3405710
ShaoY_2019,f96bdfe6-7ae6-11e9-a106-68b59976a384,ERR3405711
ShaoY_2019,f98211bc-7ae6-11e9-a106-68b59976a384,ERR3405720
ShaoY_2019,f996a3e8-7ae6-11e9-a106-68b59976a384,ERR3405712
ShaoY_2019,f9bb5d64-7ae6-11e9-a106-68b59976a384,ERR3405721
ShaoY_2019,f9d5b0a6-7ae6-11e9-a106-68b59976a384,ERR3405690
ShaoY_2019,f9ef9c46-7ae6-11e9-a106-68b59976a384,ERR3405715
ShaoY_2019,fa0efe88-7ae6-11e9-a106-68b59976a384,ERR3405695
ShaoY_2019,fa2b015a-7ae6-11e9-a106-68b59976a384,ERR3405718
ShaoY_2019,fa453494-7ae6-11e9-a106-68b59976a384,ERR3405693
ShaoY_2019,fa6240a2-7ae6-11e9-a106-68b59976a384,ERR3405716
ShaoY_2019,fa7d93a2-7ae6-11e9-a106-68b59976a384,ERR3405691
ShaoY_2019,fab20768-7ae6-11e9-a106-68b59976a384,ERR3405696
ShaoY_2019,facbad58-7ae6-11e9-a106-68b59976a384,ERR3405697
ShaoY_2019,fae5b054-7ae6-11e9-a106-68b59976a384,ERR3405564
ShaoY_2019,f8e289a8-7ae6-11e9-a106-68b59976a384,ERR3405685
ShaoY_2019,f8d1e4cc-7ae6-11e9-a106-68b59976a384,ERR3405988
ShaoY_2019,f8c0fae0-7ae6-11e9-a106-68b59976a384,ERR3405921
ShaoY_2019,f8b03fac-7ae6-11e9-a106-68b59976a384,ERR3405709
ShaoY_2019,f713e590-7ae6-11e9-a106-68b59976a384,ERR3405682
ShaoY_2019,f7350b9e-7ae6-11e9-a106-68b59976a384,ERR3405701
ShaoY_2019,f74eaf04-7ae6-11e9-a106-68b59976a384,ERR3406239
ShaoY_2019,f768e270-7ae6-11e9-a106-68b59976a384,ERR3405851
